0.634554,1.200556,0.634535,1.459765,
0.634300,1.200187,0.634281,1.459651,
0.634084,1.199918,0.634067,1.459436,
0.633958,1.201786,0.633940,1.460196,
0.632501,1.201391,0.632483,1.460787,
0.632679,1.201262,0.632661,1.460602,
0.632819,1.201056,0.632801,1.460564,
0.632914,1.200692,0.632896,1.460279,
0.632975,1.199958,0.632957,1.459972,
0.631663,1.199402,0.631645,1.460499,
0.631952,1.198847,0.631934,1.460245,
0.632239,1.200643,0.632221,1.460849,
0.632454,1.199988,0.632436,1.460458,
0.631266,1.199373,0.631248,1.460934,
0.634439,1.201452,0.634421,1.460562,
0.634271,1.201089,0.634252,1.460470,
0.634117,1.200781,0.634099,1.460219,
0.633990,1.200593,0.633971,1.460314,
0.633866,1.199983,0.633848,1.460060,
0.635177,1.201873,0.635158,1.460263,
0.634864,1.201247,0.634845,1.460273,
0.634677,1.203161,0.634659,1.461182,
0.634518,1.202659,0.634499,1.461194,
0.634432,1.204242,0.634414,1.461872,
0.634350,1.203761,0.634331,1.461783,
0.634262,1.203121,0.634243,1.461498,
0.634169,1.202506,0.634151,1.461173,
0.635489,1.204528,0.635470,1.461237,
0.635184,1.204077,0.635165,1.461192,
0.634973,1.205828,0.634953,1.461855,
0.634787,1.205159,0.634767,1.461678,
0.636053,1.206863,0.636033,1.462013,
0.635749,1.208768,0.635728,1.462732,
0.635545,1.210594,0.635525,1.463370,
0.633991,1.209761,0.633971,1.463516,
0.634084,1.209206,0.634064,1.463226,
0.634140,1.208629,0.634120,1.462969,
0.634159,1.207856,0.634139,1.462578,
0.634156,1.207306,0.634136,1.462284,
0.634136,1.206775,0.634117,1.461983,
0.632753,1.206480,0.632734,1.462411,
0.632970,1.205726,0.632951,1.462023,
0.633126,1.205215,0.633107,1.461706,
0.634638,1.206772,0.634619,1.461462,
0.634484,1.206565,0.634466,1.461062,
0.634334,1.205860,0.634316,1.460781,
0.634197,1.205321,0.634179,1.460691,
0.632719,1.205087,0.632701,1.461084,
0.631517,1.204598,0.631499,1.461430,
0.631895,1.204079,0.631877,1.461125,
0.630822,1.203412,0.630804,1.461282,
0.629941,1.202871,0.629921,1.461603,
0.630576,1.202495,0.630557,1.461088,
0.631085,1.202477,0.631066,1.460870,
0.630134,1.202038,0.630115,1.461159,
0.630721,1.201836,0.630702,1.460873,
0.631178,1.201175,0.631159,1.460484,
0.631537,1.200829,0.631518,1.460201,
0.631814,1.200443,0.631795,1.459980,
0.632076,1.201992,0.632057,1.460318,
0.632279,1.201618,0.632261,1.460117,
0.632435,1.201007,0.632416,1.459960,
0.632592,1.202626,0.632573,1.460366,
0.632700,1.202015,0.632681,1.460010,
0.632775,1.201858,0.632756,1.459798,
0.632824,1.201686,0.632805,1.459622,
0.632850,1.201291,0.632831,1.459404,
0.632855,1.200829,0.632835,1.459295,
0.632849,1.200556,0.632831,1.458960,
0.632839,1.200307,0.632821,1.458946,
0.632824,1.199921,0.632805,1.458830,
0.632793,1.199138,0.632774,1.458621,
0.632762,1.198816,0.632744,1.458584,
0.632739,1.198709,0.632720,1.458555,
0.632707,1.198210,0.632689,1.458380,
0.632672,1.197917,0.632653,1.458273,
0.632637,1.197648,0.632619,1.458192,
0.631248,1.197386,0.631230,1.458607,
0.632882,1.199195,0.632864,1.458539,
0.632830,1.198565,0.632812,1.458356,
0.632776,1.198066,0.632758,1.458222,
0.632732,1.197965,0.632714,1.458241,
0.632695,1.197673,0.632678,1.458170,
0.631319,1.197612,0.631302,1.458840,
0.631558,1.197362,0.631541,1.458578,
0.630392,1.196988,0.630375,1.459106,
0.630861,1.198951,0.630843,1.459664,
0.629875,1.198685,0.629858,1.459858,
0.630436,1.198342,0.630420,1.459595,
0.629527,1.198019,0.629510,1.459991,
0.630146,1.197932,0.630129,1.459629,
0.632032,1.199651,0.632014,1.459343,
0.633551,1.199653,0.633533,1.458778,
0.633412,1.199057,0.633394,1.458794,
0.633297,1.198745,0.633279,1.458773,
0.633195,1.198264,0.633178,1.458620,
0.633167,1.200211,0.633149,1.459374,
0.633146,1.200199,0.633129,1.459468,
0.633121,1.199639,0.633104,1.459396,
0.633095,1.199506,0.633077,1.459328,
